credit_policy,purpose,interest_rate,installment,log_annual_income,debt_income_ratio,fico,days_with_credit_line,revolve_balance,revolve_utilized,inquiries_last_6_mon,delinquent_2_yrs,public_recs,income_installment_ratio,debt_to_credit_ratio
1,educational,0.1008,226.14,10.40426284,18.91,717,3480.958333,9379,10.9,0,1,0,12.16060846717211,0.2842121213396238
1,debt_consolidation,0.1095,163.57,10.1266311,12.48,732,3810.041667,3318,18.1,0,1,0,12.736646850350295,0.1327200005110167
1,educational,0.0807,376.43,9.903487553,8.88,782,8160.041667,674,2.6,1,0,0,4.4275606817729365,0.0336999999843675
1,debt_consolidation,0.1347,508.84,11.46167427,11.89,702,4500.041667,31565,68.3,0,0,0,15.558918246867693,0.332249170103833
1,credit_card,0.1183,662.68,11.35040654,24.27,737,5610.0,43878,66.6,3,0,0,10.688919788440051,0.5162117623687097
1,credit_card,0.1183,497.01,10.34817337,13.04,727,6359.958333,16566,43.0,0,0,0,5.231283052909011,0.5309615404779042
1,credit_card,0.1134,213.85,10.54534144,12.95,687,5100.0,6236,67.8,2,0,0,14.807887167436723,0.1641052629459566
0,debt_consolidation,0.1461,744.67,12.3883942,13.86,697,4470.041667,219250,91.8,1,0,0,26.85753414736386,0.9135416687898544
1,credit_card,0.0859,309.78,10.77895629,13.5,757,4803.0,10216,20.9,0,0,0,12.912389439085445,0.2128333333099276
0,home_improvement,0.1261,120.63,10.6454249,7.94,662,4169.041667,5316,48.3,13,0,0,29.014341453790365,0.1265714282253196
0,debt_consolidation,0.1482,151.28,11.43154186,26.24,697,3449.958333,150334,87.7,0,0,0,50.780010642740855,1.63080360804089
1,educational,0.0788,281.53,12.20607265,4.18,737,6360.041667,5663,13.2,2,1,0,59.20032231436708,0.0283149998734368
1,debt_consolidation,0.1316,67.55,10.1266311,9.55,687,5249.958333,635,42.3,0,0,0,30.841351966125806,0.0254000000977985
1,credit_card,0.0963,211.83,11.48246626,18.68,752,12810.0,22329,40.2,1,0,0,38.15953053702837,0.2301958757098366
1,all_other,0.1287,538.14,10.54534144,22.34,722,3965.958333,0,0.0,0,0,0,5.884466255540088,0.0
1,debt_consolidation,0.1114,295.24,10.81977828,14.88,747,1863.0,546,3.7,4,0,0,14.112812113163816,0.0109200000481602
1,credit_card,0.1136,493.67,10.81977828,4.1,767,3799.041667,5694,21.2,2,0,0,8.440186051999282,0.1138800005022431
0,home_improvement,0.164,870.39,11.49272276,3.12,662,4590.041667,7005,38.9,9,0,1,9.382767134084956,0.0714795916689513
1,small_business,0.1886,755.69,11.24895992,5.72,672,1440.0,500,83.3,1,0,0,8.469081244334474,0.0065104166610401
1,debt_consolidation,0.1008,84.0,10.23995979,14.57,702,2490.0,12979,31.0,0,0,0,27.777777801184985,0.4635357138951116
1,small_business,0.133,338.39,11.69524702,6.31,662,6150.0,28653,89.3,0,0,0,29.5517006482407,0.2387750004212428
0,educational,0.1221,266.52,11.31260693,6.03,712,6780.0,11754,41.0,5,0,1,25.59126270178533,0.1436094175308268
1,all_other,0.0932,95.85,10.37361617,2.92,732,6126.0,1836,27.0,1,0,0,27.82472602412073,0.0573678292491234
1,all_other,0.0774,115.51,11.03838355,22.99,742,7302.0,18728,42.1,0,0,0,44.885724032432925,0.3010109786948202
1,all_other,0.0932,118.21,9.61580548,5.52,742,2429.958333,0,0.0,0,0,0,10.574401487983817,0.0
0,all_other,0.1287,622.22,11.26061054,18.24,737,7560.041667,116601,89.6,2,0,0,10.406287203234534,1.5006563651875868
0,debt_consolidation,0.164,530.33,11.40756495,18.12,657,6390.0,13605,70.9,2,1,0,14.142137923853031,0.1511666665627248
1,all_other,0.0774,156.1,11.22524339,2.34,792,4619.958333,0,0.0,0,0,0,40.03843679858872,0.0
1,debt_consolidation,0.1442,687.66,11.1844214,23.25,697,6659.958333,18789,52.0,3,0,0,8.725242142935235,0.260958332810945
1,debt_consolidation,0.0963,288.85,11.08214255,22.45,737,6930.0,32820,73.4,0,0,0,18.752524399326266,0.504923076356439
1,debt_consolidation,0.1126,492.95,11.03495418,5.46,787,5820.0,17911,32.6,2,0,0,10.481793305498568,0.2888684595433301
1,credit_card,0.1103,245.65,11.35040654,21.91,717,5189.958333,63167,84.0,2,0,0,28.835063567691645,0.7431411731059822
1,all_other,0.1459,448.05,10.73639668,22.98,677,3288.0,7719,55.9,0,0,0,8.555592792531217,0.1678043470661399
1,credit_card,0.0963,231.08,11.24723969,11.14,722,3510.041667,9222,48.0,1,1,0,27.648433432171103,0.1202848646580025
1,debt_consolidation,0.08,94.01,11.28978191,14.63,757,2040.0,2238,3.0,2,0,0,70.91444146679301,0.0279750001022771
1,credit_card,0.0932,263.57,10.5865844,24.45,757,8970.0,29576,41.1,2,0,0,12.520393098985132,0.7468686848092505
1,major_purchase,0.0859,316.11,11.19821472,6.87,767,3509.958333,11140,13.0,0,0,0,19.244355865171244,0.1526027397459464
1,all_other,0.1461,86.19,10.46310334,17.25,662,2250.041667,1920,48.0,1,0,0,33.83996595070554,0.0548571428830107
1,debt_consolidation,0.1148,659.37,11.56171563,7.23,767,5400.0,3700,51.4,2,0,0,13.270242818945317,0.0352380952077785
1,major_purchase,0.1287,302.7,11.11382009,15.85,692,3209.958333,22002,81.2,3,0,0,18.47043275667433,0.3279377573767932
1,all_other,0.1148,138.47,11.08214255,11.11,722,4380.0,4351,76.3,0,0,0,39.11797987105794,0.0669384614633414
1,home_improvement,0.0932,383.37,11.35040654,9.15,787,7469.958333,9825,24.3,0,0,0,18.47649363644378,0.1155882347707865
1,all_other,0.0894,222.41,11.91428215,1.24,727,3810.0,1330,10.1,0,0,0,55.972078871554174,0.0089031696180675
0,educational,0.1739,35.85,10.1266311,3.02,672,1422.0,1559,97.4,4,0,0,58.11250558749785,0.062360000240107
0,educational,0.1507,52.05,9.035986985,10.0,652,1019.958333,1764,53.5,2,1,0,13.44860711081683,0.2099999999645952
1,debt_consolidation,0.1461,344.76,10.30895266,11.36,672,2429.958333,10544,57.0,1,2,0,7.251421273898559,0.3514666668931142
1,debt_consolidation,0.1099,491.03,10.59232546,15.97,722,4440.0,15142,62.6,0,0,0,6.75926113474743,0.3801847951901617
1,debt_consolidation,0.1442,515.74,11.1844214,12.25,697,5310.041667,35761,92.2,2,0,0,11.63376897663715,0.4966805545612968
1,debt_consolidation,0.0838,403.36,11.08214255,7.26,757,5580.041667,4365,51.4,0,0,0,13.42886422239536,0.0671538460784843
0,credit_card,0.1134,213.85,11.42954386,2.78,682,3869.958333,32776,65.0,4,0,0,35.850674290831485,0.3562608681512809
0,debt_consolidation,0.1739,716.95,11.56171563,21.58,667,4890.041667,24599,64.1,4,0,0,12.204477310172216,0.2342761902746333
1,debt_consolidation,0.1362,381.58,10.30895266,19.52,667,4412.0,16670,71.7,0,0,0,6.551706060037914,0.5556666670246789
1,credit_card,0.1114,475.68,10.49127422,21.8,712,10368.04167,23772,84.0,0,0,0,6.306760863785017,0.6603333316417229
1,home_improvement,0.08,338.43,11.81303006,6.82,792,4710.0,10232,19.1,2,0,0,33.24173397458451,0.0757925923970905
1,all_other,0.0859,37.94,11.51292546,0.53,757,3990.0,0,0.0,1,0,0,219.645052501707,0.0
1,debt_consolidation,0.1461,689.51,11.05089001,14.72,687,2789.958333,8004,66.1,0,0,0,7.614102803858151,0.1270476184598548
1,debt_consolidation,0.0751,186.66,10.71441777,6.64,742,2250.0,5999,19.5,1,0,0,20.09000323946368,0.1333111109447996
0,all_other,0.0963,385.14,11.28978191,7.41,767,11764.0,199390,23.2,1,0,0,17.309722808052165,2.4923750091121684
1,all_other,0.0932,159.74,10.98494147,10.46,777,3100.041667,152,0.6,1,0,0,30.768373460445535,0.0025771762680817
0,all_other,0.1134,33.73,9.392661929,20.4,697,990.0,440,11.9,3,0,0,29.6471983465717,0.0366666666582383
1,credit_card,0.1704,713.49,12.10071213,10.9,677,4860.0,51497,90.3,2,0,1,21.023420092663923,0.2860944444079238
1,debt_consolidation,0.1114,451.05,10.89821971,16.09,737,6180.0,23569,70.8,0,0,0,9.991501304591685,0.4358173080047217
1,debt_consolidation,0.1126,447.77,10.30895266,16.8,727,3330.0,15286,41.7,1,0,0,5.583223526340012,0.5095333336616222
0,small_business,0.1878,870.39,11.28978191,11.64,702,5911.041667,33761,37.8,4,0,0,7.659401696128415,0.4220125015428854
1,credit_card,0.1148,412.11,11.08214255,1.63,732,3600.0,19898,36.4,2,0,0,13.143739954733912,0.3061230765795376
1,all_other,0.1095,297.7,11.30471979,0.15,692,4379.958333,517,8.9,0,1,0,22.730937275549657,0.0063666814189258
1,all_other,0.1236,292.97,10.727663,15.53,677,1848.0,8494,44.2,1,0,0,12.970611383727292,0.1862719289867992
1,credit_card,0.1505,520.37,10.91508846,16.95,677,8670.0,16918,90.5,0,0,0,8.807835413295114,0.3076000012964135
0,all_other,0.1531,174.08,11.22364211,8.06,707,1230.041667,2229,25.3,5,0,0,35.84558819401887,0.0297676282394048
1,debt_consolidation,0.1099,818.38,11.13225053,12.13,737,5400.041667,19596,43.8,0,0,0,6.958869992745957,0.2867427555624123
1,debt_consolidation,0.1284,470.66,11.88448902,8.88,717,1110.0,2424,15.6,1,0,0,25.67316813917457,0.0167172414027598
1,credit_card,0.1505,346.92,11.12726298,13.96,672,2294.041667,6365,25.2,1,1,0,16.334217234818638,0.0936029415656945
1,all_other,0.1136,279.75,10.69194491,17.13,697,2280.0,12430,46.6,1,0,0,13.106940682866393,0.2825000008193625
1,debt_consolidation,0.1204,265.87,10.70738554,16.06,677,1949.041667,8009,68.5,0,0,0,14.00579850363898,0.179233769257702
1,debt_consolidation,0.0894,413.03,11.00209984,24.12,757,5370.0,17278,40.0,0,0,0,12.105658170057405,0.2879666670134471
1,debt_consolidation,0.0894,285.95,11.69524702,12.44,742,6375.958333,43488,68.3,3,0,0,34.97114874054265,0.3624000006393399
1,credit_card,0.1078,261.08,11.26446411,16.75,692,4290.041667,50908,37.1,0,2,0,24.89658353046486,0.652666663841748
1,all_other,0.1128,139.71,10.91508846,4.65,682,3209.958333,2801,63.7,0,0,0,32.80605049041857,0.0509272729419112
1,major_purchase,0.1218,266.4,9.510444964,1.24,747,2549.958333,707,35.3,0,0,0,4.222972971171785,0.0523703703927074
0,all_other,0.0768,405.48,10.73630972,23.64,712,3240.0,58996,55.7,3,0,0,9.452994028112176,1.2826332662615036
1,debt_consolidation,0.1379,327.13,11.59175513,5.39,697,6329.958333,29526,95.6,0,0,0,27.563455928019973,0.2728785048852381
1,debt_consolidation,0.1197,131.97,9.782505656,15.51,672,4290.041667,7902,17.0,2,0,0,11.190043191910352,0.4459116302581783
1,all_other,0.1221,333.15,10.71441777,0.0,707,2640.0,4924,23.8,0,1,0,11.256190919040344,0.1094222220857131
1,debt_consolidation,0.1496,658.26,10.78692446,17.34,687,3540.0,23533,46.3,2,0,0,6.125239269981353,0.4863797947494236
1,small_business,0.1336,846.7,11.75978554,16.62,712,7890.041667,46663,47.4,1,0,0,12.597929178829116,0.3645546885578483
0,debt_consolidation,0.164,296.99,10.81174611,26.2423,672,1949.0,27750,66.5,5,0,0,13.91741581238264,0.5594758079694815
0,major_purchase,0.1261,46.91,9.740968623,20.4,672,990.0,3368,42.1,6,0,0,30.199673131791386,0.1981176470664218
0,debt_consolidation,0.1083,365.78,12.4845739456,9.43,717,8640.0,228727,77.5,4,0,0,60.19776564145759,0.8656370977487616
1,debt_consolidation,0.0859,189.67,10.62132735,13.23,747,2960.0,5672,17.1,2,0,0,18.013743245661654,0.1383414628178906
1,all_other,0.1158,165.07,10.54534144,13.52,807,4589.958333,323,1.8,0,0,0,19.183780643098945,0.0084999999890224
1,educational,0.1253,167.34,10.37349118,11.81,682,5130.0,1278,63.9,1,1,0,15.935620066421842,0.0399375000711631
1,all_other,0.1126,262.91,10.12647109,0.34,747,6689.958333,350,1.7,1,0,0,7.922863328952844,0.0140022403731453
1,debt_consolidation,0.1218,666.0,11.01862914,12.96,727,4774.041667,28404,74.7,1,0,0,7.632632608548254,0.465639345731596
1,debt_consolidation,0.1221,359.81,11.32659589,12.68,717,6810.041667,23722,51.8,0,0,0,19.22310855436781,0.2858072279950018
1,all_other,0.0894,95.32,12.07254125,17.22,722,7050.041667,72814,56.0,1,0,0,152.9934252093922,0.4160800012089831
1,home_improvement,0.1083,326.59,11.00209984,2.88,762,3450.041667,3123,10.4,0,0,0,15.309715527048622,0.0520500000626805
1,debt_consolidation,0.1774,792.47,11.07906088,22.81,662,9329.958333,11328,39.9,2,1,0,6.814138058679854,0.1748148152239454
1,debt_consolidation,0.1039,207.69,11.3736634,14.79,712,5430.0,21532,66.9,2,0,0,34.907795354296184,0.2474942522886652
1,home_improvement,0.1253,234.27,11.28983191,15.93,702,4229.958333,20125,59.9,2,0,0,28.45861605821828,0.251549923109119
1,all_other,0.074,31.06,11.11988288,0.52,792,12930.0095841,35,0.1,1,0,0,181.1010952240505,0.0005185185168906
1,credit_card,0.1183,596.41,11.75978554,12.92,742,6809.958333,12204,64.6,4,0,0,17.884788376644615,0.0953437502766642
1,debt_consolidation,0.074,155.3,11.35977429,7.92,822,11261.0,1874,5.5,0,0,0,46.03992293848178,0.021841491742682
1,debt_consolidation,0.167,319.52,10.91508846,6.83,662,1140.0,8419,65.8,0,0,0,14.344433256185464,0.1530727279178688
0,debt_consolidation,0.1766,215.9,11.22524339,26.2423,667,3781.041667,13393,28.4,8,0,0,28.94858723603381,0.178573333783061
1,debt_consolidation,0.145,516.32,11.22235924,24.61,682,2430.0,55632,80.7,3,0,0,12.070034119511035,0.7439024370445572
1,major_purchase,0.0894,381.26,10.81977828,6.0,752,2760.041667,10457,16.1,0,0,0,10.928675046662343,0.2091400009223667
1,all_other,0.1422,342.85,10.49127422,3.83,697,3570.041667,344,34.4,3,2,0,8.750182317880286,0.0095555555310765
1,educational,0.1095,183.2,10.30895266,10.56,722,3330.0,716,5.4,3,0,0,13.646288200814778,0.0238666666820437
1,all_other,0.1134,98.7,10.53049493,7.72,677,1680.0,0,53.0,1,0,0,31.610942230541337,0.0
0,debt_consolidation,0.1886,745.01,12.3883942,6.46,697,4199.958333,29182,97.9,9,0,0,26.84527718220889,0.1215916669492612
0,all_other,0.1663,88.68,10.48391386,1.51,707,690.0416667,946,15.8,0,0,0,33.58141622655432,0.0264719051619719
0,credit_card,0.1039,48.68,8.9226583,4.96,687,600.0,1954,43.4,1,0,0,12.838948239466903,0.2605333332094241
1,all_other,0.1028,113.4,10.77895629,17.65,687,2070.0,3761,55.4,2,0,0,35.27336861058102,0.0783541666580499
0,all_other,0.0775,209.18,12.22098096,1.0,802,6840.041667,0,8.6,5,0,0,80.87293221967633,0.0
0,all_other,0.0996,51.6,9.798127037,10.33,682,2910.0,6646,98.92299999999996,1,0,0,29.069767445398217,0.3692222221772883
1,debt_consolidation,0.1222,246.57,10.51688023,13.16,677,4529.958333,10832,56.1,3,0,1,12.482499850095836,0.293282129233081
0,credit_card,0.1797,503.22,11.09741002,24.71,657,6870.0,28570,93.7,7,0,0,10.929613279386558,0.4328787883153733
1,credit_card,0.1062,488.4,11.3736634,14.95,732,5430.0,33403,40.4,2,0,0,14.84438987947128,0.3839425278282689
1,debt_consolidation,0.1411,410.75,11.03817459,22.03,682,3150.0,4532,32.4,0,0,0,12.620004116411904,0.0728570506540808
1,small_business,0.1474,34.54,9.210340372,1.2,667,1860.0,437,9.7,0,1,0,24.126616483878998,0.0436999999989592
1,credit_card,0.1348,61.07,12.4845739456,1.3,667,1869.0,10201,65.0,0,0,0,360.5557346705806,0.0386065660553197
1,all_other,0.1284,201.71,10.35774282,5.83,742,11069.95833,7699,69.4,1,0,0,13.01373252374188,0.2444126995892337
1,credit_card,0.0963,288.85,11.91839057,7.47,737,6150.0,16912,30.7,0,0,0,43.2750561243555,0.1127466670137452
1,all_other,0.0768,374.29,11.15619338,12.62,722,2911.0,16810,32.3,2,0,0,15.584172754208293,0.2401565795454732
0,debt_consolidation,0.145,123.06,11.40756495,9.37,647,2850.0,20827,74.4,1,0,0,60.94588010041426,0.2314111109519934
1,all_other,0.1253,334.67,10.51867319,18.49,707,2460.0,5124,51.2,2,0,0,9.213055631872344,0.1384864867117156
1,debt_consolidation,0.1632,176.57,11.15625052,16.75,662,1560.0,3901,95.1,0,0,0,33.03694470927267,0.0557285714860552
0,debt_consolidation,0.1442,41.26,11.08992755,14.49,672,1740.0,690,6.8,6,0,0,132.30731923002168,0.0105330646803922
1,all_other,0.1099,49.11,11.3736634,20.43,687,12450.0,3438,51.3,3,0,0,147.62777473292147,0.03951724128592
1,home_improvement,0.1324,202.86,10.55581274,23.09,687,5010.0,9912,65.6,1,0,0,15.774425734779564,0.258124999632383
0,all_other,0.1467,316.58,10.49127422,0.33,692,360.0,136,1.1,8,0,0,9.476277742388202,0.0037777777681
1,debt_consolidation,0.1426,82.34,10.26813067,19.13,662,5220.041667,2041,70.4,0,0,1,29.1474375674315,0.0708680552808736
1,educational,0.1114,275.57,11.3736634,11.88,702,4110.041667,24216,73.8,3,0,0,26.30910482684535,0.2783448269284004
1,all_other,0.1197,431.6,11.32659589,3.92,682,3479.041667,4933,15.1,2,0,0,16.02564107726386,0.0594337347483072
0,debt_consolidation,0.1347,576.69,10.96280446,22.32,717,3359.958333,4583,73.9,5,0,0,8.336078898680336,0.0794445984185307
1,all_other,0.1039,194.71,10.66895539,17.47,702,3540.041667,12758,40.4,0,0,0,18.40343750489829,0.2966976758058736
1,debt_consolidation,0.1148,197.82,10.59663473,18.24,712,5009.958333,15955,70.9,1,0,0,16.850335269503024,0.3988750012349463
1,credit_card,0.1183,497.01,10.6454249,14.2,727,6841.0,10894,39.6,0,0,1,7.042111847992458,0.2593809516716765
1,debt_consolidation,0.1158,429.18,10.96819829,9.43,722,4320.0,12174,59.6,1,0,0,11.261786046908009,0.2098965516251835
1,all_other,0.1347,84.81,11.5228758,13.76,682,10742.95833,45304,96.6,1,0,0,99.24144206838513,0.4485544535721106
1,all_other,0.0737,372.55,10.81985828,10.1,742,7769.958333,56348,33.7,0,0,0,11.1850758152088,1.1268698517759907
0,home_improvement,0.1311,674.9,12.29225034,9.94,717,5730.041667,39576,27.7,5,0,0,26.917567987093506,0.1815412847252202
1,small_business,0.1886,550.81,11.73606902,9.96,687,4561.041667,12730,95.0,1,0,0,18.911542465406296,0.1018399996216071
1,small_business,0.1357,161.36,10.1266311,5.09,787,4800.0,44834,0.0,0,0,0,12.91108902647371,1.7933600069050404
1,small_business,0.1565,629.75,11.08214255,9.16,732,4200.0,13381,49.4,1,0,0,8.6012968205564,0.2058615382305152
1,all_other,0.1059,269.31,11.59910316,24.01,767,4665.958333,29901,71.2,2,0,0,33.72816947878233,0.274321101249711
1,debt_consolidation,0.1596,421.65,10.46287474,20.82,667,6750.041667,14534,48.9,3,1,0,6.915688346959193,0.4153520816869319
1,small_business,0.0963,481.42,11.51292546,4.81,802,9637.958333,21267,33.9,1,0,0,17.30990256307333,0.2126700010570185
1,all_other,0.0859,158.06,10.99406767,20.32,742,3990.0,6673,32.4,0,0,0,31.380488437589584,0.1121135752135422
1,debt_consolidation,0.16,527.36,11.03488966,7.39,672,7800.041667,11307,50.0,3,0,0,9.797228924945609,0.1823709684763851
1,debt_consolidation,0.0894,317.72,11.03488966,14.37,757,1950.0,1176,4.5,0,0,0,16.26169786560278,0.0189677420118713
1,debt_consolidation,0.0932,191.69,11.15310271,4.06,747,2250.0,5307,12.8,1,0,0,30.33543728119597,0.076053310764678
1,debt_consolidation,0.1375,263.09,11.03811028,9.8,677,3089.958333,12231,81.0,3,0,0,19.70174974316892,0.1966398711323674
1,home_improvement,0.0859,31.62,10.91272203,3.59,802,7350.0,3575,2.8,5,0,0,144.60784312958756,0.0651540003679524
0,educational,0.0859,237.08,10.96819829,24.66,752,10350.0,152002,51.6,3,0,0,20.38692987857254,2.6207241366955105
1,debt_consolidation,0.0775,156.11,10.71441777,5.0,762,2131.0,1359,5.6,2,0,0,24.021523314831143,0.0301999999623241
1,home_improvement,0.0894,317.72,10.54534144,4.23,742,6630.0,16205,33.7,1,0,0,9.966847131928562,0.4264473678703058
1,debt_consolidation,0.1148,323.1,10.55581274,24.75,717,2159.958333,6095,23.4,1,0,0,9.904054486404776,0.1587239581072815
1,all_other,0.1442,279.36,9.392661929,0.0,687,5193.0,0,0.0,0,1,0,3.5796105391962465,0.0
1,debt_consolidation,0.1253,309.57,11.17745273,13.83,692,2490.0,18463,79.2,1,0,0,19.247127761688247,0.2582237758834627
1,all_other,0.1311,70.87,9.61580548,19.04,672,1950.041667,4285,62.1,0,0,0,17.63792860017732,0.2856666666907617
1,credit_card,0.08,250.69,10.91508846,13.51,772,3089.958333,8507,13.0,2,0,0,18.282872527888543,0.1546727279246122
1,credit_card,0.1134,180.95,11.48246626,17.15,687,5189.958333,29243,96.2,1,0,1,44.67164052864726,0.3014742260460725
1,all_other,0.1878,803.99,10.55581274,9.69,662,1290.041667,12863,37.9,1,0,0,3.9801490124969,0.3349739578562694
1,debt_consolidation,0.1367,416.72,10.30895266,13.28,692,1132.0,12558,61.3,0,0,0,5.999232094426154,0.4186000002697011
1,small_business,0.1114,177.97,11.28978191,24.77,712,3750.041667,12216,56.6,1,0,0,37.459496782003775,0.1527000005582739
1,all_other,0.0859,205.47,10.37349118,5.85,732,5910.041667,2400,12.8,3,0,1,12.978374759892109,0.0750000001336397
1,credit_card,0.1287,151.35,10.46310334,19.78,682,2490.0,4726,73.8,1,0,0,19.271005386794258,0.1350285714922442
1,all_other,0.1347,135.7,9.903487553,15.06,702,1469.958333,1067,19.4,2,1,0,12.28199460161965,0.0533499999752524
1,credit_card,0.1166,122.3,11.0090258,19.58,697,5519.958333,15948,88.8,0,0,1,41.16721172183843,0.2639654405272231
1,debt_consolidation,0.1218,666.0,11.22524339,18.45,732,4259.958333,29074,46.2,0,0,0,9.384384360750298,0.3876533343096182
1,all_other,0.0743,217.52,10.40426284,10.04,772,3630.0,983,2.1,1,0,0,12.642515625074935,0.0297878788012421
1,credit_card,0.1221,399.78,10.74720759,23.69,712,6360.041667,147,0.5,3,0,0,9.692831041810852,0.003161290327561
0,all_other,0.1204,66.47,9.83734775,0.96,662,1109.0,182,18.2,2,0,1,23.46923424026973,0.0097222222225292
1,credit_card,0.1253,267.74,11.40756495,10.59,692,3963.0,9304,28.3,2,0,1,28.01225071023,0.1033777777066955
1,home_improvement,0.0945,192.06,11.60823564,8.68,722,12930.0095841,1390,1.8,1,0,0,47.72814028376512,0.0126363636966966
0,credit_card,0.1064,244.27,10.59663473,2.07,702,11730.0,599,3.2,8,1,1,13.646101948716945,0.0149750000463637
1,debt_consolidation,0.1287,840.83,11.33857208,8.64,712,3811.041667,29535,75.7,0,0,0,8.325107352522922,0.3516071420925556
0,credit_card,0.1287,672.67,11.60823564,23.4,717,5430.0,122620,0.0,0,0,0,13.627286221921493,1.1147272780495974
0,all_other,0.1062,146.52,10.62132735,7.02,707,8013.0,2282,69.2,4,0,0,23.318773419360124,0.0556585363452797
1,credit_card,0.074,186.36,11.60823564,12.86,787,9484.0,63621,13.2,0,0,0,49.18795139997816,0.5783727300341985
0,small_business,0.1438,768.01,12.30138283,14.5,692,7387.0,81330,77.5,4,0,0,23.87121706601154,0.3696818164570672
1,debt_consolidation,0.1347,407.08,11.12726298,21.9,697,5408.0,43863,63.7,2,0,0,13.920277692599198,0.6450441203293099
1,all_other,0.1357,163.05,11.09741002,6.29,697,3539.958333,500,25.0,0,0,0,33.731984019950346,0.0075757575833982
1,debt_consolidation,0.16,506.27,10.4341158,14.86,667,2880.0,8969,53.7,0,0,0,5.596486703020437,0.2637941185962685
1,debt_consolidation,0.1071,195.61,10.62132735,12.38,697,3620.0,21196,46.2,3,0,0,17.46672808856728,0.516975607526095
1,credit_card,0.1095,40.9,11.77528973,5.18,707,4110.041667,26652,80.5,2,0,0,264.8736757805554,0.2050153845001083
1,debt_consolidation,0.1531,261.12,10.40426284,14.76,747,12002.95833,23875,12.6,5,0,0,10.531556367824374,0.7234848488094168
1,all_other,0.0945,224.07,11.44035477,10.86,717,4080.0,5257,32.9,1,0,0,34.587405647568666,0.0565268818411371
1,home_improvement,0.1287,282.52,11.75194237,16.36,687,3540.0,26040,60.8,1,0,0,37.460474945439714,0.2050393691439099
1,debt_consolidation,0.1886,771.28,11.14186178,24.52,662,3660.0,16491,98.92299999999996,1,1,0,7.45513948166485,0.2390000008554759
1,debt_consolidation,0.1316,337.71,11.81303006,9.98,682,5760.0,24810,71.3,3,1,0,33.31260557584507,0.183777777303735
0,all_other,0.1475,103.63,10.57131693,5.23,652,1800.0,2060,12.7,0,4,0,31.361574986844584,0.0528205125623147
1,educational,0.0932,255.58,10.30895266,16.8,772,5969.958333,7590,25.7,0,0,0,9.781673051057464,0.2530000001630061
0,credit_card,0.1253,267.73,10.91508846,16.25,717,5549.958333,55821,95.8,0,0,0,17.119236970142975,1.0149272770047937
1,major_purchase,0.1253,83.67,11.15619338,10.68,702,5820.0,4403,88.1,0,0,0,69.71435425089786,0.0629035942735704
