credit_policy,purpose,interest_rate,installment,log_annual_income,debt_income_ratio,fico,days_with_credit_line,revolve_balance,revolve_utilized,inquiries_last_6_mon,delinquent_2_yrs,public_recs,default,income_installment_ratio,debt_to_credit_ratio
1,all_other,0.0743,155.38,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,0,107.26391260885417,0.4280349980867582
1,debt_consolidation,0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0,53.132703978033426,0.09698000048201276
1,credit_card,0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,0,5.447018665780187,0.4914999999401851
1,home_improvement,0.0743,155.38,11.91839057,0.0,777,7128.958333,6053,19.5,0,0,0,0,80.44793384940203,0.040353333457556755
1,home_improvement,0.0807,78.42,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,0,116.89194877454642,0.06612727304300091
1,credit_card,0.087,158.3,11.22524339,15.55,757,4770.0,66033,23.0,0,0,0,0,39.481996110295,0.8804400022173425
1,all_other,0.0743,155.38,11.46163217,3.83,772,2535.0,3660,6.8,0,0,0,0,50.95035823177886,0.038526315811922125
1,credit_card,0.0743,155.38,11.35040654,0.31,787,3540.0,216,0.6,0,0,0,0,45.58716286139434,0.0025411764590829414
1,credit_card,0.1122,164.23,11.28978191,1.21,672,3990.0,27185,16.1,3,0,1,0,40.593476479895344,0.33981250124236073
1,debt_consolidation,0.0996,161.25,10.77895629,8.03,707,4320.0,28329,48.6,1,0,0,0,24.806201553115585,0.5901874999350959
1,home_improvement,0.0933,159.77,12.10071213,11.93,717,4498.958333,60568,39.2,1,0,0,0,93.88495964145199,0.3364888888459353
1,home_improvement,0.0807,156.84,12.10071213,5.55,742,4019.0,40934,26.3,0,0,0,0,95.63886764801572,0.22741111108208156
1,debt_consolidation,0.0743,155.38,11.69524702,2.29,777,3540.0,8379,16.9,0,0,0,0,64.35834716410201,0.06982500012318407
1,small_business,0.087,94.98,10.1266311,14.54,752,2460.0,3660,7.8,1,0,0,0,21.934442254282985,0.14640000056368932
1,home_improvement,0.1028,97.2,12.20607265,0.0,677,3779.958333,0,0.0,0,1,0,0,171.46776482678766,0.0
1,credit_card,0.1122,164.23,10.30895266,18.64,702,5190.0,15840,47.1,0,0,0,0,15.2225537258069,0.5280000003401868
1,credit_card,0.0838,167.02,11.21182037,14.37,797,5610.958333,6844,14.4,0,0,0,0,36.92172586028284,0.09248648668869033
1,educational,0.0775,168.6,8.987196821,3.0,762,6659.958333,1321,16.5,0,0,0,0,3.9541320693476734,0.16512499994418336
1,all_other,0.0838,160.72,10.37349118,14.78,772,4379.0,4737,23.9,0,0,0,0,16.592002625155743,0.14803125026377145
1,credit_card,0.0901,159.03,11.19821472,9.96,722,3089.958333,23489,37.6,0,0,0,0,38.252740568064404,0.3217671233296711
1,debt_consolidation,0.0743,178.69,11.73606902,0.27,792,7488.958333,2817,10.2,0,0,0,0,58.29462591846461,0.02253599991626609
1,credit_card,0.0743,155.38,10.71441777,1.12,782,5807.0,1783,0.0,1,0,0,0,24.134380259224418,0.03962222217279176
1,small_business,0.1028,323.98,10.217422,10.7,712,1379.0,3534,54.4,0,0,0,0,7.0415869564713445,0.12909117425227945
1,small_business,0.1059,813.65,10.77895629,4.05,762,2729.958333,2422,23.3,0,0,0,0,4.916118724807827,0.05045833332778433
1,educational,0.0996,112.87,9.510444964,16.44,712,1649.958333,2864,41.1,1,0,0,0,9.9672189201751,0.21214814823863387
1,debt_consolidation,0.1596,94.88,10.86283777,12.57,627,1409.0,3075,92.3,1,0,0,0,45.84738599454391,0.05890804620502861
1,small_business,0.1059,398.69,11.00209984,17.12,747,12930.0095841,17214,8.1,2,1,0,0,12.541071995733049,0.28690000034549595
1,credit_card,0.1154,39.6,9.903487553,2.04,662,1139.0,1153,75.8,2,0,0,0,42.0875421070653,0.057649999973257794
1,credit_card,0.1343,678.08,11.88448902,10.15,682,4209.958333,41674,74.1,0,0,0,1,17.81992289461996,0.28740689695487304
1,credit_card,0.1249,401.37,11.22524339,15.0,682,4479.0,43039,93.4,3,0,0,0,15.571667001170237,0.5738533347785532
1,all_other,0.0964,205.45,11.00209984,7.72,712,2293.958333,3362,69.3,0,0,0,0,24.336821581790264,0.05603333340081081
1,debt_consolidation,0.1186,397.75,11.08214255,7.14,682,8730.0,11868,71.9,0,2,0,0,13.6182694475057,0.18258461517971414
1,all_other,0.0743,155.38,10.59663473,2.55,772,8189.958333,2562,14.0,2,0,0,0,21.452782359461246,0.06405000019830351
1,all_other,0.1028,113.39,9.903487553,1.5,682,1410.0,1882,32.4,0,0,0,0,14.698533093216211,0.09409999995634967
1,debt_consolidation,0.1186,99.44,10.49551521,7.47,667,2550.0,1064,70.9,2,0,1,0,30.297164067697903,0.02943047608231718
1,credit_card,0.0807,109.79,11.49272276,8.52,752,4979.958333,6432,6.0,0,1,0,0,74.38443105780313,0.06563265290716559
1,all_other,0.1059,32.55,10.43382164,14.47,687,1110.0,4485,36.9,1,0,0,1,87.01996904393599,0.13195057405311492
1,all_other,0.0996,112.87,11.26446411,11.06,702,4979.958333,16310,20.5,0,1,0,0,57.58837625705471,0.20910256319751142
1,debt_consolidation,0.0964,160.51,11.77528973,8.55,712,5940.0,20969,40.2,0,0,0,0,67.49319880022874,0.16129999990930402
1,debt_consolidation,0.1375,340.57,10.46310334,17.38,707,2699.958333,22213,65.9,0,0,0,0,8.564073950410519,0.6346571431564159
1,home_improvement,0.0775,156.11,12.32385568,6.48,752,5339.958333,2160,2.3,1,0,0,0,120.10761628180155,0.009600000011390955
1,credit_card,0.0743,155.38,11.15625052,4.56,812,9809.0,813,1.0,0,0,0,0,37.54236920656633,0.0116142857262658
1,home_improvement,0.0807,235.25,11.91839057,2.72,757,5202.0,23678,24.4,4,0,0,0,53.13496264195574,0.15785333381926794
1,debt_consolidation,0.0996,257.99,10.77895629,15.13,722,2640.0,11289,47.8,3,0,0,0,15.504476919415046,0.23518749997413596
1,small_business,0.1501,225.37,12.26904744,6.45,677,6240.0,56411,75.3,0,0,0,1,78.7593731052259,0.2648403768293697
1,home_improvement,0.0964,80.26,11.22524339,20.0,772,4920.958333,269,3.8,3,0,0,1,77.87191607599922,0.0035866666756995008
1,home_improvement,0.128,84.0,10.37349118,20.0,682,5492.0,3408,35.1,1,0,0,1,31.746031689464655,0.10650000018976845
1,debt_consolidation,0.1122,507.46,10.59663473,13.5,712,5368.958333,6513,34.3,3,0,1,1,6.568662205913942,0.16282500050411816
1,educational,0.0743,124.31,10.59663473,3.45,772,1739.958333,330,11.0,0,0,0,0,26.814683637785283,0.008250000025542607
1,credit_card,0.087,63.32,11.15625052,6.07,712,2550.0,5967,19.8,1,0,0,0,92.12465772767332,0.08524285723078479
1,all_other,0.1091,130.79,9.798127037,18.0,707,2192.0,5533,79.6,1,0,0,0,11.468766726680542,0.3073888888514801
1,home_improvement,0.0775,93.67,11.73606902,2.14,762,8370.0,21050,1.0,0,0,0,0,111.20600731686176,0.1683999993742993
1,all_other,0.0775,93.67,10.81977828,5.35,762,8370.0,21050,0.7,0,0,0,0,44.48240256528756,0.4210000018567294
1,all_other,0.087,88.65,11.69524702,15.0,742,3026.0,8155,14.9,1,0,0,0,112.80315828943225,0.06795833345322427
1,all_other,0.0964,128.41,11.51292546,15.0,722,3026.0,8155,14.9,1,0,0,0,64.89629539689092,0.08155000040532213
1,home_improvement,0.087,94.98,11.03488966,12.23,737,2729.958333,3678,30.7,0,0,0,0,54.39741678099932,0.059322580884066924
1,debt_consolidation,0.1217,179.8,10.46310334,7.1,662,2944.0,2040,36.2,2,0,0,0,16.221727838105174,0.058285714313198955
1,credit_card,0.1533,444.05,11.00209984,19.52,667,2700.958333,33074,68.8,2,0,0,0,11.259993230444339,0.5512333339971496
1,all_other,0.0775,124.89,11.03165864,3.46,747,2519.0,1918,17.1,0,0,0,0,41.2362877912901,0.031035598812443534
1,credit_card,0.1533,644.3,11.40756495,5.24,662,1770.0,22379,62.2,0,0,0,0,11.640540129065622,0.24865555538458067
1,small_business,0.0964,642.02,11.47210347,2.86,737,2190.0,10296,42.5,0,0,0,1,12.460671001526771,0.10725000004825959
1,small_business,0.1154,104.76,9.61580548,12.24,672,1289.958333,2867,55.1,3,0,0,1,11.93203512690499,0.19113333334945476
1,debt_consolidation,0.1122,157.66,10.30895266,12.36,682,1770.0,12310,86.1,0,0,0,0,15.856907258589795,0.4103333335977083
1,debt_consolidation,0.087,383.87,11.91839057,4.8,767,12930.0095841,61921,39.1,0,0,0,0,32.56310720170914,0.41280666793744786
1,credit_card,0.1122,217.6,11.38509209,18.0,702,3725.0,16738,26.1,2,0,0,0,33.70098027553992,0.19020454611271842
1,all_other,0.0807,297.99,11.05089001,3.49,792,5939.0,40384,9.2,1,0,0,0,17.6180409553617,0.641015870050322
1,debt_consolidation,0.0775,156.11,10.71441777,5.0,762,2131.0,1359,5.6,2,0,0,0,24.021523314831143,0.030199999962324173
1,debt_consolidation,0.1154,329.95,12.32385568,20.0,727,10292.0,107501,44.8,2,0,0,0,56.82679187074419,0.4777822227891384
1,all_other,0.0807,313.67,12.06104687,0.72,787,8010.0,3054,5.6,3,0,0,0,45.96125423693015,0.017653179252183022
1,all_other,0.0807,297.99,11.40756495,2.44,792,8717.958333,40384,9.6,0,0,0,0,25.16862983709849,0.4487111108025786
1,home_improvement,0.0933,239.65,11.44035477,9.66,792,4529.0,128000,0.0,3,0,0,0,32.33882738765162,1.3763440889605398
1,debt_consolidation,0.0712,61.87,11.6784399,0.43,772,5936.0,4709,18.5,0,0,0,0,158.93540163940452,0.039906779798607586
1,all_other,0.1186,94.47,10.71441777,2.8,667,5460.0,2850,75.0,0,1,0,0,39.69514136422452,0.06333333325432222
1,small_business,0.1501,73.68,11.47210347,16.89,702,4080.0,51,0.0,0,0,0,1,108.57763295874344,0.0005312500002390481
1,home_improvement,0.0807,313.67,11.91839057,5.84,792,5364.958333,37152,3.7,0,0,0,0,39.85079848732772,0.2476800007624564
1,debt_consolidation,0.0933,543.2,11.22524339,9.55,762,5699.958333,3839,16.6,1,0,0,0,11.505890987223303,0.05118666679557763
1,home_improvement,0.0807,313.67,11.35040654,3.11,797,5363.958333,37152,3.7,0,0,0,0,22.582119314577273,0.4370823509622659
1,credit_card,0.1217,266.37,11.15625052,10.2,672,3598.958333,26283,39.5,0,1,0,1,21.89936301879444,0.3754714289587257
1,debt_consolidation,0.1028,210.6,10.71441777,5.87,692,1741.958333,5607,42.2,0,0,0,0,17.80626782848191,0.12459999984455603
1,all_other,0.1249,234.15,10.04324949,5.01,662,1110.0,1061,81.9,3,0,0,0,8.185635948124558,0.04613043500916853
1,debt_consolidation,0.1028,323.99,11.69524702,14.4,722,4679.958333,56740,77.5,1,0,0,0,30.865150104503748,0.47283333416749784
1,credit_card,0.1059,235.96,10.95080655,7.22,712,5519.0,40598,77.3,1,0,0,0,20.130530662488272,0.7122456117677877
1,debt_consolidation,0.1438,352.22,11.1844214,17.83,687,1289.958333,3815,6.5,1,0,0,0,17.03480782468583,0.05298611100504313
1,all_other,0.0743,117.31,11.69524702,0.0,772,3929.958333,0,0.0,1,0,0,0,85.2442245533899,0.0
1,debt_consolidation,0.0712,64.96,11.60823564,0.22,812,12930.0095841,50,0.3,0,0,0,0,141.1124788007994,0.000454545456715706
1,small_business,0.1565,699.69,11.42954386,1.53,667,3603.958333,4569,56.4,1,0,0,0,10.957233484963787,0.04966304328115702
1,educational,0.1059,195.27,9.852194258,8.15,692,3089.958333,8528,86.1,0,0,0,0,8.108431060060873,0.4488421053298454
1,credit_card,0.1122,295.59,10.3859137,22.15,747,2788.958333,14345,45.8,0,0,0,0,9.134273808968041,0.44274691436852287
1,small_business,0.1122,217.59,10.81977828,18.38,707,3359.0,113,2.4,1,0,0,0,19.149164246015374,0.002260000009967241
1,debt_consolidation,0.1375,263.09,11.03811028,9.8,677,3089.958333,12231,81.0,3,0,0,1,19.70174974316892,0.19663987113236742
1,debt_consolidation,0.1467,248.43,10.95080655,20.76,667,3750.0,13552,69.1,0,1,0,0,19.120074125994176,0.23775438520806585
1,credit_card,0.1028,194.4,11.37710574,10.6,692,2489.958333,16813,63.9,0,0,0,0,37.42283943777533,0.19258877469334504
1,debt_consolidation,0.1249,301.04,10.57131693,5.08,667,3690.0,26233,62.9,3,0,1,1,10.795907573368003,0.6726410223530106
1,all_other,0.0743,163.92,11.35040654,2.64,782,9210.0,5760,16.0,0,0,0,0,43.212136196946396,0.0677647055755451
1,all_other,0.1028,150.66,10.727663,3.26,687,6509.958333,105,35.0,1,1,0,1,25.222355084897018,0.0023026315685912317
1,debt_consolidation,0.1122,217.59,10.9525594,13.77,682,2160.0,11490,95.7,0,0,0,0,21.868345760651458,0.20122591856306
1,home_improvement,0.1312,85.23,10.59663473,20.67,692,5250.0,17641,30.5,3,1,0,0,39.10985947451705,0.4410250013654458
1,all_other,0.1122,328.43,10.30895266,20.4,742,3270.0,0,0.0,3,0,0,0,7.6119721048298485,0.0
1,all_other,0.0807,165.47,10.91508846,12.0,797,8790.0,12430,19.2,1,0,0,0,27.698877826895384,0.22600000095250147
1,debt_consolidation,0.1091,140.6,10.49127422,9.87,707,1560.0,12323,44.0,0,0,0,0,21.33712665494493,0.34230555467865353
1,all_other,0.1028,98.01,11.40756495,9.13,697,3300.0,38624,97.8,0,0,0,0,76.52280384814793,0.4291555552604694
1,small_business,0.1217,166.48,9.210340372,0.0,662,2250.0,875,54.7,2,1,0,1,5.005606279151733,0.08749999999791605
1,small_business,0.1249,284.32,11.35040654,6.38,667,7229.958333,1196,12.0,3,4,0,0,24.91324340673696,0.014070588171588879
1,small_business,0.1438,194.15,12.4845739456,2.4,697,2759.958333,26628,60.4,3,1,0,0,113.41302454974172,0.10077596715234328
1,all_other,0.1028,138.51,10.34174248,24.81,767,5789.958333,6752,24.6,2,0,0,0,18.650879534879696,0.21780645236809976
1,debt_consolidation,0.1249,70.25,9.433483923,14.4,662,1469.0,458,91.6,1,0,0,1,14.82799525073559,0.03664000001063995
1,credit_card,0.0838,252.1,11.56171563,9.71,752,3508.958333,16786,44.7,0,0,0,0,34.708449058024485,0.159866666529127
1,all_other,0.0901,263.19,11.69524702,12.16,742,9719.958333,7336,29.9,0,0,0,0,37.99536449849223,0.06113333344118372
1,all_other,0.0933,104.65,11.03488966,3.83,702,3690.0,7089,41.9,1,0,0,0,49.37091873730831,0.11433871013788756
1,debt_consolidation,0.0807,172.53,10.89673933,6.29,742,5100.0,18388,68.9,0,0,0,0,26.082420564778023,0.3405185170019889
1,credit_card,0.0996,38.7,10.37349118,1.13,677,1920.0,613,76.6,2,0,0,0,68.90611529496204,0.01915625003413382
1,educational,0.1249,100.35,10.2791805,12.77,662,1110.0,566,51.5,3,1,0,1,24.182029507319967,0.019436813231724307
1,debt_consolidation,0.128,335.98,10.50232405,18.92,682,2219.0,9166,50.4,1,0,0,0,9.0283151447646,0.2518131877259672
1,all_other,0.1091,163.49,10.57131693,11.78,707,4889.0,5406,33.4,0,0,1,1,19.878891772504154,0.1386153839378026
1,all_other,0.0996,32.25,10.46310334,5.83,687,2158.958333,1188,3.0,2,0,0,1,90.43927644314141,0.03394285715886292
1,educational,0.0996,96.75,9.798127037,15.4,707,11248.95833,12003,40.4,1,0,0,0,15.503875970879049,0.6668333332521806
1,all_other,0.1059,72.42,11.00209984,8.14,707,4800.0,20511,62.0,1,0,0,1,69.04170110437461,0.3418500004116688
1,small_business,0.0964,90.68,11.15625052,18.0,732,3691.0,55720,10.0,2,0,0,0,64.32877511376572,0.7960000008210706
1,all_other,0.0807,259.58,10.79957558,9.89,772,9870.0,7744,17.1,0,0,0,0,15.730539121675598,0.15804081586706847
1,all_other,0.0964,169.32,11.15625052,17.57,737,5429.958333,51761,38.0,1,0,0,0,34.451531581126126,0.7394428579055893
1,credit_card,0.1154,205.4,10.71441777,17.76,717,1500.0,579,23.2,0,0,0,0,18.257059419076384,0.012866666650614934
1,debt_consolidation,0.1312,162.01,11.35040654,16.87,707,9059.958333,34776,54.3,0,0,0,1,43.721581170319446,0.4091294099123535
1,debt_consolidation,0.1028,226.8,10.92233487,10.05,692,1890.0,8047,33.8,0,0,0,0,20.355673077770508,0.14525270797854806
1,all_other,0.1059,162.73,9.61580548,24.4,737,3209.958333,0,0.0,3,0,0,0,7.681435506019584,0.0
1,debt_consolidation,0.1154,158.38,10.1266311,18.19,672,2586.0,409,81.8,0,1,0,0,13.154017712538188,0.016360000062991514
1,small_business,0.0901,795.11,10.95080655,8.93,822,9696.958333,185,0.5,0,0,0,0,5.974016192879894,0.003245614024755917
1,debt_consolidation,0.0996,158.83,11.33857208,4.84,727,6330.0,48251,50.1,2,0,0,0,44.07227863263772,0.574416665417569
1,all_other,0.1028,97.2,10.54534144,19.93,687,2580.0,772,96.5,0,0,0,0,32.578875213542624,0.02031578944744684
1,debt_consolidation,0.1154,263.97,10.81977828,8.04,672,3089.0,1019,4.5,1,1,0,0,15.784621920257926,0.02038000008988158
1,small_business,0.1091,404.62,10.75177778,16.39,692,5640.0,8332,39.9,2,0,0,0,9.620755300515933,0.1783657649744064
1,all_other,0.0775,307.53,11.15625052,9.09,797,6089.958333,1790,4.5,1,0,0,0,18.968339112659823,0.02557142859780539
1,debt_consolidation,0.128,839.95,11.22524339,24.85,722,6330.0,62739,74.7,3,0,0,1,7.440919083587949,0.8365200021067323
1,all_other,0.1059,269.31,11.59910316,24.01,767,4665.958333,29901,71.2,2,0,0,1,33.72816947878233,0.274321101249711
1,debt_consolidation,0.1186,265.18,10.858999,11.31,667,1560.0,5867,74.3,1,0,0,0,16.341101681466263,0.11282692280202747
1,home_improvement,0.0964,802.47,11.26446411,0.8,732,2129.958333,10605,22.1,1,0,0,0,8.099991311991435,0.13596153787305998
1,debt_consolidation,0.1091,505.16,11.69524702,16.97,697,9659.0,57196,44.5,3,0,0,1,19.79570825551938,0.4766333341742018
1,home_improvement,0.0901,318.05,12.4845739456,2.97,712,4919.0,481,80.2,2,0,0,1,69.2316890939549,0.0018203860673079886
1,educational,0.0838,315.12,10.30895266,4.2,737,1560.0,2282,19.0,1,0,0,0,7.933485651146443,0.0760666667156759
1,all_other,0.1091,130.79,9.574983486,8.92,672,1140.0,3614,61.3,1,0,0,0,9.175013384227315,0.2509722221128213
1,debt_consolidation,0.1059,227.82,11.05879518,8.5,682,6839.958333,14930,79.0,1,0,1,0,23.227401636551633,0.2351181113837808
1,credit_card,0.0996,643.36,11.66134547,13.07,727,10529.95833,33989,82.9,0,0,0,0,15.025283924725125,0.29300862071558675
1,all_other,0.147,51.78,10.1266311,3.84,632,1530.0,1238,61.9,1,1,0,0,40.23432455217841,0.049520000190668684
1,educational,0.0901,572.48,10.62132735,15.37,747,7500.0,4746,18.5,2,0,0,0,5.968185231631927,0.11575609706165534
1,all_other,0.0775,149.87,9.952277717,6.34,752,3029.0,3470,25.5,0,0,0,0,11.676786551780001,0.16523809518944266
1,all_other,0.0996,96.75,11.03488966,11.98,682,1799.0,12640,83.2,0,0,0,0,53.402239233688015,0.20387096856297063
1,home_improvement,0.0712,92.8,11.44035477,0.0,812,8250.0,368,1.2,0,0,0,0,83.51293085614991,0.003956989255761552
1,credit_card,0.1091,192.09,11.09741002,19.82,677,4290.0,30597,89.5,1,1,0,0,28.632411861382188,0.46359090955846965
1,all_other,0.1154,593.92,10.20359214,10.8,682,5050.0,8537,75.5,0,0,0,0,3.788388989730015,0.31618518676183205
1,debt_consolidation,0.1091,392.36,10.46310334,15.74,692,1500.041667,15649,54.5,2,0,0,0,7.433649366121192,0.44711428592512276
1,educational,0.0775,156.11,10.858999,9.55,767,12930.0095841,4067,7.3,0,0,0,0,27.758204752361948,0.07821153827098104
1,debt_consolidation,0.1028,155.52,10.46310334,7.51,687,2795.0,5836,68.7,0,0,1,0,18.75428668525791,0.16674285722148485
1,credit_card,0.1028,485.99,11.38509209,11.95,702,5070.0,24615,94.7,0,0,0,0,15.089473668094993,0.27971591005882207
1,all_other,0.1028,116.64,10.30895266,7.88,687,5130.041667,7600,71.7,0,0,1,0,21.43347049373514,0.2533333334965543
1,debt_consolidation,0.1122,223.34,10.83958091,18.68,682,1889.041667,9495,87.9,2,0,0,1,19.029282675506114,0.18617647090593842
1,credit_card,0.0775,149.87,9.903487553,10.26,757,6330.041667,4921,30.4,0,0,0,0,11.12074909881755,0.24604999988586435
1,educational,0.1154,211.17,11.46163217,1.83,667,3421.041667,11200,23.2,1,0,0,0,37.48954236896244,0.11789473691079995
1,debt_consolidation,0.0743,186.45,11.13730067,6.11,777,7440.041667,2444,5.6,3,0,0,0,30.699025566581202,0.03558221481847076
1,debt_consolidation,0.0933,790.86,11.00209984,0.82,767,2100.0,916,6.8,0,0,0,0,6.3222314872149425,0.01526666668505137
1,small_business,0.0901,795.11,12.4845739456,3.83,782,3660.0,148829,6.6,5,0,0,1,27.693198068609824,0.5632562120818725
1,credit_card,0.087,126.65,10.69194491,18.71,747,3630.0,3209,12.6,0,0,0,0,28.951177702580917,0.07293181839334949
1,credit_card,0.1091,294.27,11.28978191,17.17,677,3840.041667,7570,82.3,0,0,0,0,22.654931329368306,0.09462500034595073
1,debt_consolidation,0.1091,404.62,11.28978191,9.23,687,2519.0,13126,96.5,0,0,1,0,16.476364594664652,0.1640750005998612
1,debt_consolidation,0.1186,397.77,11.91839057,20.48,687,4452.041667,66654,51.6,1,0,0,0,31.425195367976688,0.44436000136791476
1,debt_consolidation,0.0743,178.68,11.46163217,1.2,812,12930.0095841,50,0.3,0,0,0,0,44.30639501932952,0.000526315789780357
1,educational,0.1028,29.16,9.392661929,16.7,687,2069.0,3084,65.6,3,0,0,1,34.293552819954165,0.2569999999409251
1,small_business,0.0996,417.62,11.42954386,6.48,712,5610.041667,2598,23.8,1,0,0,0,18.357996975945387,0.028239130322706488
1,credit_card,0.1059,130.18,11.03488966,17.81,682,6330.041667,18168,68.5,2,0,0,0,39.68863608741216,0.2930322592446242
1,all_other,0.1122,98.53,10.40134951,22.79,682,9389.0,24218,85.3,2,0,0,0,27.82908759003415,0.7360199367197513
1,all_other,0.0807,15.69,9.798127037,4.27,722,1470.0,0,0.0,0,0,0,0,95.6022944667016,0.0
1,credit_card,0.1091,523.14,12.20607265,10.7,697,7320.0,72303,73.7,1,0,0,0,31.858903431516918,0.361514998384091
1,all_other,0.087,557.23,11.9381932,0.12,757,1128.041667,1032,5.0,0,0,0,0,22.881036547250165,0.00674509804174221
1,all_other,0.1122,315.3,10.65725935,14.6,677,3630.0,133,4.2,1,0,0,0,11.232688389686652,0.0031294117800791423
1,debt_consolidation,0.1154,527.93,10.70099475,12.16,682,2130.0,34023,57.7,1,2,0,1,7.008504926495613,0.766283782573298
1,major_purchase,0.0743,93.23,11.1844214,11.18,757,4500.041667,12430,29.6,5,0,0,0,64.3569667704692,0.1726388885432991
1,debt_consolidation,0.0775,202.94,10.77895629,13.53,787,10260.04167,10742,8.9,3,0,0,0,19.710259192075927,0.22379166664205585
1,debt_consolidation,0.1186,165.74,10.59663473,7.02,667,2789.041667,2197,75.8,0,2,0,1,20.111821666544518,0.054925000170051835
1,all_other,0.1028,158.76,10.69194491,15.3,692,4410.0,88,23.8,1,3,0,1,23.095657949306336,0.002000000005800796
1,debt_consolidation,0.1028,485.99,10.81977828,11.88,702,7020.041667,13867,33.7,0,0,0,0,8.573564576000503,0.27734000122314806
1,all_other,0.0996,322.49,11.19134184,10.28,702,4920.041667,3943,98.6,3,0,0,1,18.73443102600066,0.05438620694238659
1,debt_consolidation,0.087,189.97,10.08580911,19.45,757,3870.041667,5405,40.0,2,0,0,0,10.52797810885842,0.22520833318246244
